author,first 3-gram,second 3-gram,third 3-gram,fourth 3-gram,fifth 3-gram
aprilahijriyan,update to stable,to stable version,update version number,,
Marcus Wilson,add created date,created date to,date to chadwick,to chadwick user,
skullbe,merge pull request,pull request 2201,request 2201 from,2201 from attatuirkpatch88,from attatuirkpatch88 update
l1oret,add team factory,,,,
Armok628,add s and,s and fix,and fix numberchar,,
SeanRen,delete projection matrix,projection matrix left,matrix left and,left and right,and right multiply
Kari Lockwood-Oliver,changes to nav,to nav menu,nav menu on,menu on all,on all pages
Abdelrahman Bakry,components life cycle,life cycle hooks,exercise disabled button,,
keum,status for 12312019,for 12312019 044000,12312019 044000 pm,for 12312019 045000,12312019 045000 pm
Geoffrey Lovelace,add quickstart guide,quickstart guide for,guide for vscodedocker,,
Amirhossein,merge pull request,pull request 1,request 1 from,1 from amirhossein693update_sazito_phoenix,from amirhossein693update_sazito_phoenix update
dawdads,add files via,files via upload,,,
Balasubramanian Narasimhan,initial commit initial,commit initial commit,,,
Adam Schaefers,compton fix hacky,fix hacky build,,,
bkinney91,update service file,service file for,file for new,for new device,
Daniel Hoffmann,ninja 13 ex,13 ex 2,,,
Vaibhav Kamra,address review comments,,,,
Jason Leach,setting up redux,,,,
Rodrigo Brito,fixdoc ajustments in,ajustments in doc,in doc and,doc and parameters,
Guangning,motivation the current,verifying this change,add diskusagethreshold to,diskusagethreshold to 099,to 099 5970
zuquan song,vagrantfile update for,update for build,for build dependency,build dependency 5968,dependency 5968 fixes
Sijie Guo,a specific broker,add a broker,a broker tool,broker tool for,tool for operations
Alex Browne,add workaround for,workaround for golangcilint,move code out,code out of,out of gopath
Hillgner Lima,added t obteratributotthis,where t attribute,alterado pasta de,pasta de documentação,merged pr 58
Aishwarya Pawar,add files via,files via upload,,,
kienchen,remove lock files,,,,
bartkoz,all tests pass,tests pass now,pass now added,now added missing,added missing tests
Luis Alvarez,updated to support,to support single,support single page,single page integrations,removed the always
Turnip1234,merge branch master,branch master of,master of httpsgithubcomturnip1234mywebsite,,
Alice Wercker,canary commit at,commit at 20200101,at 20200101 004415482647882,20200101 004415482647882 0000,004415482647882 0000 utc
Le Heng Chieu,merge branch master,branch master of,master of httpsgithubcomcjlhdotfiles,,
Dream-LC,site updated 20200101,updated 20200101 084320,,,
tiago archanjo,update indexhtml add,indexhtml add section,indexhtml add container,add container text,
latent-info,regular uploading of,uploading of articles,,,
wandererfan,tdfix 4234 initial,4234 initial display,initial display of,display of section,of section label
vocx-fc,merge branch master,branch master into,master into utilities_gui,,
Tianon Gravi,add tls support,tls support in,support in 60,in 60 and,60 and unify
yosifkit,merge pull request,pull request 218,request 218 from,218 from infosiftrtls,from infosiftrtls add
TylerSeiford,v002 still need,still need a,need a cap,a cap for,cap for the
binishmaharjan,creating new file,deleting signup view,adjustment to signupview,to signupview depedency,
Binish Maharjan,merge pull request,pull request 31,request 31 from,31 from binishmaharjanfeaturechange_sign_up_to_storyboard,from binishmaharjanfeaturechange_sign_up_to_storyboard featurechange
Haseeb Majid,rotating_light removed tslint,removed tslint removed,tslint removed tslint,removed tslint replaced,tslint replaced it
BuildTools,added prototype createrun,prototype createrun lobby,createrun lobby functionality,lobby functionality still,functionality still has
Suryansh,dashboard widgets grid,widgets grid drag,grid drag setup,,
Mumeen Idris,add test cases,test cases to,cases to get,to get todosid,
Markus Schirp,add unparserastlocalvariablescope mutant,unparserastlocalvariablescope mutant exclusion,merge pull request,fix readme badges,readme badges drop
vlad,use eval on,eval on the,on the correct,the correct version,correct version of
Steven Saunders,fixed js validation,js validation and,validation and error,and error styles,
Tobias Briones,scripts that i,that i had,i had from,had from 2016,from 2016 added
Ken Dickey,merge branch master,branch master into,master into branch9,,
Nora_Wang,summary of data,of data typespy,create 049 group,049 group anagramspy,update summary of
ChrisH,add download link,download link to,link to poster,to poster pdf,change poster preview
lexx,added vets list,vets list and,list and update,and update controller,update controller closes
Thomas Andolf,added dagens pass,dagens pass number,pass number 42,,
Emad Alharbi,updatedremove files to,files to publish,to publish in,publish in maven,in maven repo
devanshkaria88,added like and,like and unlike,and unlike functions,unlike functions for,functions for posts
GihanAyesh,of httpsgithubcomgreatwhitesharkshrmsystem into,httpsgithubcomgreatwhitesharkshrmsystem into gihan,add findjob method,add delete paygrade,merge branch gihan
Gihan Ayeshmantha,merge pull request,add find job,find job method,pull request 4,request 4 from
yasiru,leave functions added,,,,
yasiruRathnayaka97,merge branch master,branch master into,master into master,merge pull request,pull request 7
Thamidu Muthukumarana,merge pull request,pull request 5,request 5 from,5 from greatwhitesharksgihan,from greatwhitesharksgihan paygrade
Olle Jonsson,fix yard warnings,,,,
mklewandowski,improve image sizing,add tool to,tool to export,to export graph,export graph as
zrrrzzt,updates data ignore,,,,
Nick Holke,finished re seeding,re seeding postgres,,,
dGrammatiko,merge pull request,pull request 35,request 35 from,35 from dgrammatikorenovate11tyeleventypluginsyntaxhighlight3x,from dgrammatikorenovate11tyeleventypluginsyntaxhighlight3x update
Dimitrios Grammatikogiannis,master of githubcomdgrammatikoformally,merge branch master,branch master of,of githubcomdgrammatikoformally master,githubcomdgrammatikoformally master of
Estefano Salazar,added simbel ecommerce,simbel ecommerce application,fixed icon name,icon name on,name on appsjson
Tomer Kimia,fix issue where,issue where stops,where stops push,stops push things,push things off
Sinan,delete sinanbuton gizlemejs,,,,
Jonathan Torres,changes on queue,on queue and,queue and stack,,
Sorawee Porncharoenwase,evilscrollup and evilscrolldown,is supposed to,fix behavior of,behavior of evilscrollup,of evilscrollup and
YAMASAKI Masahide,change release actions,,,,
harlen lopez,alot of css,,,,
Trenton Arndt,separating the shield,the shield from,shield from the,from the health,the health of
Anthony Sottile,fix ci flake8,ci flake8 errors,,,
Igor Houwat,added toggledisplay function,toggledisplay function to,function to hide,to hide empty,hide empty grocery
LJNeon,improved esm support,,,,
Rob Levin,stronger types for,types for checkboxinput,for checkboxinput also,checkboxinput also provides,also provides usage
Ricardo Parra molina,defectos en tabla,,,,
Amber Keahey,changing to just,to just home,just home races,fixing svg path,fixing text details
yeet648,update net version,,,,
snyk-bot,from 2320 to,2320 to 2522,snyk has created,has created this,created this pr
czhu2018,rollback version of,version of maven,of maven release,maven release plugin,
gerritcodereview-prober@gerritcodereview-prober.iam.gserviceaccount.com,adding timestamp file,,,,
gamesbykevin,commit by robot,,,,
jerry3904,update mxidesktool grammatical,mxidesktool grammatical corrections,,,
netdatabot,latest package build,package build process,build process trigger,debbuild latest package,rpmbuild latest package
Brandon Cheng,bump travis ci,travis ci rust,ci rust version,rust version to,version to 20191229
Alexandre-T,removing symfony 43,symfony 43 from,43 from test,using symfonyflex and,symfonyflex and symfony_require
Sugu Sougoumarane,tests fix panic,fix panic in,panic in vstreamer_test,signedoffby sugu sougoumarane,sugu sougoumarane ssougougmailcom
Madeline Prins,fixing mqtt graphic,,,,
Tony Papadimitriou,asm8 macro assembler,macro assembler manual,,,
Nick,enabled the cors,the cors functionalitiy,cors functionalitiy and,functionalitiy and increased,and increased the
3141592654,split make code,make code prettier,code prettier in,prettier in general,in general into
Chris,removing australia videos,australia videos from,videos from comming,from comming soon,
Lukas Langrock,added package metadata,merge branch master,branch master of,master of httpsgithubcomlukas34bulkdeleteblobs,
tommy605,git cloneshare commit,gas commit 12312019,commit 12312019 194441,commit 12312019 195027,
jaydonhashimoto,created basic login,,,,
peter,added text to,text to speech,,,
jnm2,enable targets to,targets to recognize,to recognize net,assemblies instead of,instead of treating
Joseph Musser,use builtin version,builtin version comparison,version comparison coauthoredby,comparison coauthoredby sam,coauthoredby sam harwell
Sam Harwell,merge pull request,disable node reuse,node reuse for,reuse for tests,pull request 59
zhtengw,appmiscnixnote bump new,bump new version,new version 215,,
Dheeraj Kumar Kanukuntla,updated index file,,,,
David Basarab,fixed for pack,,,,
Noah Glaser,added block to,block to unnecessary,to unnecessary searches,,
Flat-Pixels,chore add to,add to the,to the readme,,
rajashree,user is added,is added to,clusterrolebindings are created,if there is,any of the
Prachi Damle,change the etcd,the etcd dir,etcd dir permissions,,
Denise,merge pull request,pull request 24807,request 24807 from,24807 from kinarashahcpp,from kinarashahcpp forwardport
Jeff Pickell,initial commit for,commit for zshrc,for zshrc and,zshrc and jkpzshtheme,updated path variable
Dante19980224,planning to fix,to fix double,fix double render,gonna postpone this,postpone this one
Matthew Phelps,saved by tiddlywiki,,,,
Steven Burns,added a couple,a couple of,couple of more,of more lines,
Daniel Egan,corrected header comments,,,,
SousanCCloud,git cloneshare commit,,,,
Nathan,add greedy 11399,greedy 11399 problem,runtime array memory,array memory error,
MrSloth13,okay so there,so there was,there was some,was some similarities,some similarities but
tacotaco2,git cloneshare commit,,,,
wiki,updated by anon,,,,
Michael Kellsy,fix plugin alias,plugin alias and,alias and readme,and readme examples,
Parker Ziegler,fix support for,support for using,for using withurqlclient,using withurqlclient with,withurqlclient with _appjs
eodccloud,git cloneshare commit,,,,
DanX27,01 january 2020,cet idejű blyyy,idejű blyyy menetrend,blyyy menetrend változat,january 2020 014458
Adam Borowski,manpage fix being,fix being interpreted,being interpreted as,interpreted as a,as a troff
Scott Robertson,accordion component to,component to sharedui,,,
supertester00,git cloneshare commit,gas commit 12312019,commit 12312019 194459,commit 12312019 195726,
mengyuan29,from github for,github for gitnote,,,
Eugenio Zuccarelli,implement stochastic gb,stochastic gb in,gb in fit,,
Martin Papa,finished results page,of httpsgithubcomjjblues86fingal into,httpsgithubcomjjblues86fingal into apbranch,general layout is,layout is finished
Martin,lined up h1,up h1 and,h1 and nav,and nav bar,nav bar on
anniepineda,home page structure,,,,
Jerome Joof,merge branch master,branch master into,merge pull request,master into serg,master into mpbranch
EtivenKodi,git cloneshare commit,,,,
dcd,refactor removed unnecessary,removed unnecessary variable,,,
stelar7,replace syso with,syso with a,with a logger,,
Johndeer123,add files via,files via upload,,,
daneshchacko,metadata of p165,of p165 tanjung,p165 tanjung piai,add files via,files via upload
galaxywormhole,gas commit 12312019,commit 12312019 194502,,,
Universebenzene,baidupcsgo and baidunedisk,and baidunedisk version,baidunedisk version bump,,
root,update black list,tb 20200101 004802,20200101 004802 utc,004802 utc 120085bfadd22d82651a153eac091bff50588ce9ec765d729946eb4e398ce01c,removed files managed
ramenfud,i have no,have no idea,no idea what,idea what im,what im doing
Ping-Jou Chiang,return empty data,empty data for,data for empty,for empty cache,refactorserialier return empty
llopez0814,git cloneshare commit,,,,
Andrew Reitano,enable sorting of,sorting of documents,of documents in,documents in frontend,
Hironsan,add unit test,unit test for,for project creation,add frontend boilerplate,add dummy api
Michael Perel,add settings required,settings required for,required for ssl,,
alexey.shkarupin,fixes 309 read,309 read settings,read settings properly,,
gsandhu916,small css changes,pic change props,,,
Me Ngan,add new ver,,,,
Alaa Moussawi,adding notebook for,notebook for getting,for getting intraday,getting intraday minute,intraday minute data
hb,node status updates,status updates qstat,updates qstat f,qstat f qs,f qs ue
Guoxp,wed jan 1,jan 1 084501,1 084501 cst,084501 cst 2020,
web,logs as of,as of wed,of wed jan,wed jan 1,jan 1 004502
mtolson,improved generation of,generation of months,of months and,months and added,and added some
thomasyu888,add test for,test for create,for create teams,add in doc,in doc string
bluerob45,git cloneshare commit,,,,
wilsson,docs readme add,readme add badges,feat add command,add command new,command new for
Juan Pablo,featsvg add svg,add svg logo,svg logo and,logo and dark,and dark style
John Napiorkowski,docs updates and,updates and more,and more details,more details on,details on object
cgentemann,updated so runs,so runs with,runs with post,,
Jorge Naranjo,dalma load updated,load updated on,updated on wed,on wed jan,wed jan 1
kodiccloud100,git cloneshare commit,,,,
jdebacker,test boolean params,,,,
Jim Wu,mlgmxyysd github update,github update bot,update bot 1577839506,update bot 1577839807,update bot 1577840106
Sergey Voytov,events are working,,,,
Automatron,add rhsso to,rhsso to update,to update products,update products list,
Snoopy Crime Cop,merge master dorg,master dorg ssuccessonly,dorg ssuccessonly pr,already uptodate merged,uptodate merged prs
Helmasaur,readme update typographic,update typographic corrections,typographic corrections totals,corrections totals of,totals of messages
Xander Flood,added an api,an api client,api client implementation,,
xanderflood,merge pull request,pull request 2,request 2 from,2 from xanderfloodxfsdkclient,from xanderfloodxfsdkclient added
greg linton,initialize plugins bucket,plugins bucket for,bucket for tests,,
Enosys Security Operations Team,wed jan 1,jan 1 114506,1 114506 aedt,114506 aedt 2020,
James Pace,undo domain forwarding,domain forwarding ill,forwarding ill do,ill do some,do some research
Jonathan Sterling,split semantic domain,changing grammar to,grammar to be,to be higher,be higher chi
Aaron Roller,master trying out,trying out releases,master bad bash,bad bash shebang,master git checkout
adon0420023,git cloneshare commit,gas commit 12312019,commit 12312019 195726,,
Trivikram Kamat,chore remove legacy,remove legacy json,legacy json packages,json packages 605,
dboyd42,rm main fns,main fns tpl,fns tpl kept,tpl kept metadata,
Rong Cui,google 130 surrounded,130 surrounded regions,surrounded regions golang,regions golang httpsleetcodecomproblemssurroundedregions,google 769 max
declarative-design-9472,automatically backed up,backed up by,up by learn,,
Dimbreath-Server,cn 191228080255e463c0 0851,,,,
Satoru Kamada,update my databases,,,,
NotSorru,rock paper scissors,paper scissors game,scissors game in,game in browser,in browser console
Ali Rizvi,change the contract,the contract of,contract of iminecraftmod,of iminecraftmod i,iminecraftmod i dont
AveTrueToCaesar,update kr_kumul_khanate_l_englishyml 이벤트번역,,,,
motikan2010-bot,auto update 20200101,update 20200101 094501,,,
maloymanna,test wo redirect,update readme test,readme test wo,update talks test,talks test wo
dotnet-maestro[bot],update dependencies from,dependencies from httpsdevazurecomdncenginternal_gitdotnetwpfint,from httpsdevazurecomdncenginternal_gitdotnetwpfint build,httpsdevazurecomdncenginternal_gitdotnetwpfint build 201912314,build 201912314 microsoftdotnetwpfdnceng
anouarbensaad,add places and,places and state,and state of,state of tunisia,of tunisia sort
Fernando Medina Corey,new book to,book to list,,,
hi-the-swan,class autoreviewanalysis to,autoreviewanalysis to help,to help analyze,help analyze results,analyze results and
Jan Segre,fixstratum invalid log,invalid log format,log format was,format was causing,was causing exception
alcovap,add files via,files via upload,,,
jack,fix aoi and,aoi and add,and add some,add some commit,some commit creat
benobi,show project from,project from deckel,from deckel in,deckel in vti,in vti main
NewsTools,created text for,text for url,for url nationaldailyngcomeuropaleaguedrawarsenaltofaceacmilaninroundof16,for url nationaldailyngcomnohopeinsightyetfornigeriaspowercrisis,for url nationaldailyngcom2019abadyearfornigerianssaysatiku
bunchley,fixed delete button,delete button bug,,,
Roger Oliver Clark,added return of,return of heatran,,,
EricDalrymple91,update mushroom jerky,mushroom jerky tableyet,jerky tableyet again,mushroom jerky page,jerky page for
veganinthestreets,merge pull request,from veganinthestreetsejddev update,veganinthestreetsejddev update mushroom,update mushroom jerky,pull request 1
ayyghost,remove faulty max_room_desc,faulty max_room_desc option,,,
nlog2n2,create ssid password,ssid password function,create saving qrcode,saving qrcode image,qrcode image function
Rachid Rezzik,jupyter notebook added,notebook added with,added with code,with code from,code from ide
Eric Chen,removed unecessary module,,,,
AboveTheChemist,updated alignment to,alignment to any,to any after,any after verification,badge name after
Jay,merge branch master,branch master of,master of httpsgithubcomtwotonerebel3adventofcode2018,of httpsgithubcomtwotonerebel3adventofcode2018 day1,httpsgithubcomtwotonerebel3adventofcode2018 day1 finsihed
Marc Davies,add code to,code to make,to make input,make input field,input field clear
Francis Bulus,changed font color,font color for,color for intro,for intro text,fixed font size
EricFromCanada,ndpi 30 closes,30 closes 48421,closes 48421 signedoffby,48421 signedoffby rui,signedoffby rui chen
BrewTestBot,ndpi update 30,update 30 bottle,gitannex update 720191230,update 720191230 bottle,glooctl update 130
Nick Golder,gitannex720191230 closes 48438,closes 48438 signedoffby,48438 signedoffby rui,signedoffby rui chen,rui chen chenrui333gmailcom
Solo-io Bot,glooctl 130 closes,130 closes 48439,closes 48439 signedoffby,48439 signedoffby rui,signedoffby rui chen
404NetworkError,youtubedl 20200101 closes,20200101 closes 48440,closes 48440 signedoffby,48440 signedoffby rui,signedoffby rui chen
adash333,modify gitignore for,gitignore for build,,,
sudoix,edit glance installation,add glance installation,,,
juanbecerra0,updated resume section,,,,
Jeremy Lucas,working through course,,,,
Michael Babienco,show transparent color,transparent color with,color with border,with border and,border and strike
Jarrod Millman,improve test coverage,,,,
Daryn Sharp,hadoop10146 workaround jdk7,workaround jdk7 process,jdk7 process fd,process fd close,fd close bug
Jason Darrell Lowe,mapreduce5672 provide optional,provide optional rollingfileappender,optional rollingfileappender for,rollingfileappender for container,for container log4j
Brandon Li,backported hadoop10125 to,hadoop10125 to branch2,to branch2 update,branch2 update changestxt,update changestxt gitsvnid
Colin McCabe,hdfs5784 reserve space,reserve space in,space in edit,in edit log,edit log header
Sanford Ryza,sandy ryza gitsvnid,yarn1496 protocol additions,protocol additions to,additions to allow,to allow moving
Jing Zhao,hdfs5794 fix the,fix the inconsistency,the inconsistency of,inconsistency of layout,of layout version
Alejandro Abdelnur,hadoop10235 hadoop tarball,hadoop tarball has,tarball has 2,has 2 versions,2 versions of
Haohui Mai,by chris nauroth,chris nauroth gitsvnid,hdfs5758 namenode complete,namenode complete implementation,complete implementation of
Chris Nauroth,hadoop10240 windows build,windows build instructions,build instructions incorrectly,instructions incorrectly state,incorrectly state requirement
Tsz-wo Sze,hdfs5786 support query,support query and,query and finalize,and finalize actions,finalize actions of
Mohammad S Anwar,updated github commits,github commits section,commits section data,github commits summary,commits summary section
Alex WalterDev2,ci deployment from,deployment from job,from job alexstagingtobackupuserpermissionsactuala,,
scoffin-dev,setting mastery levels,indicate current mastery,current mastery level,mastery level on,level on both
Somfic,created new logo,,,,
Homo Efficio,update and rename,and rename git여러commit의author를바꾸는방법md,rename git여러commit의author를바꾸는방법md to,git여러commit의author를바꾸는방법md to git여러commit의author를바꾸는방법md,
Nathan Eck,real initial commit,,,,
Yen Ju Lai,merge pull request,pull request 4,request 4 from,4 from laiyenjudependabotbundlerrack208,from laiyenjudependabotbundlerrack208 bump
mateo4martinez,looks good so,good so far,so far quickly,far quickly defaulted,quickly defaulted the
andredb90,add files via,files via upload,,,
Pete Cornish,improves documentation and,documentation and examples,,,
Mehmet Mert Yildiran,add a pull,a pull request,pull request template,,
Piotr Paradziński,typo builsing building,,,,
Charlie J,gitbook master 2,master 2 pages,2 pages modified,gitbook master one,master one page
Deep,contact and about,and about updated,,,
Steven Hobson-Campbell,move client styles,client styles to,styles to indexhtml,make remote url,remote url optional
patniko,5733 to 5734,5734 to 5735,5735 to 5736,,
Les Vogel,merge branch master,branch master into,master into renovatecomgoogleapisgoogleapiservicescloudiot1x,,
neilprado,modificando relacionamento para,relacionamento para nn,para nn com,nn com classe,com classe de
Michael Belousov,first half of,half of untested,of untested boat,untested boat physics,completed untested base
dependabot-preview[bot],signedoffby dependabotpreviewbot supportdependabotcom,from 121218 to,121218 to 1312,this update includes,from 131 to
Jian Wu,update 02 open,02 open closed,open closed principlejs,,
Robert Chou,merge pull request,pull request 2,request 2 from,2 from robertchou91test,from robertchou91test update
Aaron Turon,add final prelude,final prelude mp3,,,
HappyTreeBeard,convention use 2,use 2 digit,2 digit days,update file name,file name convention
muppet9010,addremove groups with,groups with settings,with settings change,settings change default,change default settings
Jennie R,added chess part_1,error handling funtime,added class inheritance,class inheritance folder,
jz0001,started rendering search,rendering search results,search results in,results in semantic,in semantic cards
David98vc,add files via,files via upload,,,
catamphetamine,added inputstylereset property,,,,
acsone-git-bot,remove web addons,web addons symlinks,,,
Mary,refactor common variables,,,,
outage-scrapers,4 outages added,outages added with,added with 4,with 4 customers,4 customers affected
Chris Mikstas,added handlebars pages,handlebars pages for,pages for required,for required webpages,required webpages added
mauronofrio matarrese,adding realme x2,realme x2 decryption,x2 decryption key,,
LXing,change controls to,controls to pointerlock,fix errors removed,errors removed loading,removed loading card
Michael Skowronski,qa scripts 25,scripts 25 the,25 the intention,the intention here,intention here is
xjx3316,set theme jekyllthemecayman,,,,
Alfredo Castillo,cleanup model constructors,model constructors and,constructors and fixed,and fixed typo,fixed typo in
Raul Ovalle,fix resolve test,fix expected indentation,expected indentation of,indentation of 16,of 16 spaces
Ryan Burn,add bracket operator,bracket operator test,add test coverage,test coverage for,coverage for other
IOhacker,adding a better,a better way,better way to,way to manage,to manage fineract
Johan Berg,add debug output,debug output macros,,,
Ido Ben-Hur,this reverts commit,revert msm8998common overlay,enable burn in,burn in protection,msm8998common overlay set
john gravois,add info for,info for prospective,for prospective esri,prospective esri staff,esri staff contributors
Lauren Boyd,merge pull request,pull request 342,request 342 from,342 from jgravoispatch1,from jgravoispatch1 add
Thomas LaFreniere,subscription confirmation profile,confirmation profile active,profile active subscriptions,active subscriptions canncellation,subscriptions canncellation wip
Peter Davison-Reiber,colour change test,title in greek,in greek test,,
mohsenataei,exercise issue fixed,,,,
Pakeji,commit january 01,january 01 2020,01 2020 004606,2020 004606 utc,01 2020 004608
Jerry014a,learning modules and,modules and basics,and basics of,basics of node,
Ben Saufley,update codeclimate coverage,codeclimate coverage reporter,coverage reporter try,reporter try parallel,try parallel tests
MehdiL,typos in protfolio,,,,
simerplaha,129 fixing 211,fixing 211 build,129 java slice,129 java set,129 name stream
LuisFrag,create boardexception and,boardexception and defensive,and defensive programing,,
wmay,add 2019 2nd,2019 2nd quarter,2nd quarter wfml,quarter wfml flags,wfml flags closes
Thomas de Zeeuw,tests on windows,port tests for,is opened to,opened to investigate,to investigate why
Dmitrii Goriunov,read till would,till would block,if connection closed,connection closed we,closed we still
Tomas Janousek,set the address,persistent mac address,mac address for,we set the,bridges having a
elangovan sivanandam,merge pull request,pull request 2380,request 2380 from,2380 from liskinbridgeatomichwaddr,from liskinbridgeatomichwaddr bridge
James Cathcart,wip not receving,not receving token,receving token 401,token 401 response,
d3j331,fixed line ending,line ending fro,ending fro json,fro json file,
Danver98,added request inquiry,checking request object,,,
y-yagi,merge pull request,pull request 69,request 69 from,69 from yyagidependabotnpm_and_yarntypesnode1312,from yyagidependabotnpm_and_yarntypesnode1312 bump
Dustin Spicuzza,black formatting changes,,,,
ChristianDunn,changes to virtual,to virtual avail,,,
wadegguerin,merge pull request,pull request 1,request 1 from,1 from wadegguerinedithello,from wadegguerinedithello update
Tetsu Yamazaki,added 組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加,組織タイプにprojectを追加 プロジェクトメンバーリポジトリを追加 changed,プロジェクトメンバーリポジトリを追加 changed ユーザーが閲覧権限を持つプロジェクトのみ検索できるように制限,merge branch release130,merge tag 120
Philip Lassen,latest updates to,updates to quicksort,,,
SharkFin,tab 2 spaces,update spacing single,spacing single tab,single tab double,tab double tab
Jairo Llopis,is missing in,fix website do,website do not,do not fail,not fail if
Yoshi Tashiro,imp l10n_jp covering,l10n_jp covering new,covering new tax,new tax 10,tax 10 from
Nicolas Lempereur,fix web_editor revert,web_editor revert update,revert update attribute,update attribute of,attribute of edition
Pete Higgins,docs signedoffby pete,signedoffby pete higgins,pete higgins petepeterhigginsorg,for api docs,api docs signedoffby
Robert Long,dont use the,use the creator,the creator attribution,creator attribution if,attribution if the
ardnew,rename version class,version class to,class to prevent,to prevent name,prevent name conflicts
hououinkami,rename apiforhomeini to,apiforhomeini to apiforhomerini,,,
Pierre Zemb,bump lombok version,lombok version to,version to allow,to allow building,allow building with
belinda-wong,enabling tls authentication,tls authentication on,docs fix link,fix link issue,link issue for
Masahiro Sakamoto,jackson libraries to,fix bug that,bug that beforeconsume,that beforeconsume of,beforeconsume of interceptor
Reugn,add murmur3_32hash private,murmur3_32hash private constructor,private constructor 5765,,
Sunkwan Kwon,fixes 5626 5627,5626 5627 if,5627 if killafteridlems,if killafteridlems is,killafteridlems is 0
congbo,modify the logical,the logical for,logical for getting,for getting schema,getting schema compatibility
ntysdd,fix potential npe,potential npe and,npe and repeated,and repeated conditional,repeated conditional test
Mariia Pecherytsia,reset and start,and start new,start new project,new project type,project type npm
ejelome,replace theme with,theme with homepage,with homepage added,homepage added sphinxpowered,added sphinxpowered technical
Bradley Guthrie,added observable for,observable for post,,,
Francesco Litrico,made some commands,some commands more,commands more userfriendly,,
CreamyGlue,apples and oranges,and oranges java,oranges java explained,,
Test Author,new pr to,pr to test,to test signcla,test signcla at,signcla at 20191231
quantum9Innovation,i knew you,knew you wouldnt,you wouldnt believe,wouldnt believe it,believe it the
Bamboo CI,automated build in,build in bamboo,in bamboo ci,,
Jack Howard,merge pull request,basic webpack react,webpack react babel,react babel setup,build for webpack
Adrian Ancona Novelo,finish article about,article about postgresql,about postgresql user,postgresql user management,
Lorenzo Mangione,element properties subroutine,element update fix,map doc and,doc and variables,direction offsets and
sarkiroka,update with actual,with actual data,,,
Jorge Pinna Puissant,debug assets in,website accessed and,fix base website,base website debug,website debug assets
Goffin Simon,fix lunch the,lunch the lunch,the lunch mail,lunch mail template,mail template is
Andrew Asplund,updated assignment expanded,assignment expanded dom,expanded dom manipulation,dom manipulation updated,manipulation updated assignment
wmayer,declare getmdiview and,getmdiview and getmdiviewpage,and getmdiviewpage as,getmdiviewpage as const,set explicit utf8
Grey Christoforo,fix brick01 file,brick01 file name,,,
PushKK,skip ci update,ci update fem_ruts,update fem_ruts fix,fem_ruts fix error,fix error in
Rajendra Pardeshi,issue id 0004230,id 0004230 fixing,0004230 fixing a,fixing a crash,a crash in
"Zheng, Lei",display mode restore,partdesign fix subshapebinder,fix subshapebinder lost,subshapebinder lost of,lost of placement
WandererFan,tdadd arrow style,arrow style pyramid,style pyramid contributed,pyramid contributed by,contributed by lidiriel
Haokang Den,merge pull request,pull request 14,request 14 from,14 from hdenrenovateorgclojurejavajdbc0x,from hdenrenovateorgclojurejavajdbc0x update
Weicheng Xue,finish running cases,running cases using,cases using limiters,using limiters for,limiters for the
Michael Weedman,added login framework,,,,
dsl,words in sbjm,in sbjm this,sbjm this reverts,this reverts commit,revert corrected a
anonoymousm,site updated 20200101,updated 20200101 084616,,,
Brandon,merge pull request,pull request 1,request 1 from,1 from brandon242400dependabotnpm_and_yarnhandlebars453,from brandon242400dependabotnpm_and_yarnhandlebars453 bump
Aaron Jackson,cleaning up tests,up tests fixing,tests fixing a,fixing a few,a few remaining
Marco Castelluccio,ultrablame original commit,ablockingfirefox3 ultrablame original,ablocking19 ultrablame original,rmano ablockingfirefox3 ultrablame,reftests for bug
dhon2407-pc,cooking checkpoint 4,checkpoint 4 refactoring,4 refactoring and,refactoring and improvements,
Brandon Minnick,added javascript config,updated signalrservicesubscribe logic,,,
cgschu1tz,plugins were a,were a giant,a giant waste,giant waste of,waste of time
Jack Zhang,edited introductory post,added new post,introductory post and,post and added,and added new
Angel Fernando Quiroz Campos,lti allow multiple,allow multiple lineitems,multiple lineitems for,lineitems for tool,for tool link
Gilberto Placidon,add files via,files via upload,via upload implemented,upload implemented quicksort,implemented quicksort it
Henrik Bechmann,parameterize configuration data,,,,
Ethan Ruszanowski,added alt tags,merge pull request,pull request 26,request 26 from,26 from ethanruszalttags
Colin,remove dependency on,dependency on aws,on aws dockerhub,,
Deployment Bot,publishing to ghpages,to ghpages wed,ghpages wed jan,wed jan 1,jan 1 004641
dan0x09,update adapters to,adapters to use,to use native,use native class,native class syntax
Peter Xu,add mocks for,mocks for requestpromisenative,for requestpromisenative by,requestpromisenative by default,
Jeff Kowalski,add rubocopyml and,rubocopyml and address,and address rubocop,address rubocop issues,add dry_run option
Erik Mackdanz,appbackupamanda disable sandboxviolating,disable sandboxviolating configure,sandboxviolating configure test,configure test closes,test closes httpsbugsgentooorg701416
Repository mirror & CI,merge updates from,updates from master,20200101 002551 utc,,
adityamaddala,set up ci,up ci with,ci with azure,with azure pipelines,azure pipelines skip
Gerardo Salazar,add test cases,test cases for,cases for null,for null lastupdatetime,null lastupdatetime and
Pascal T,merge pull request,pull request 17,request 17 from,17 from omeggarefactocli,from omeggarefactocli refacto
omegga,add tests for,tests for converters,,,
